
,,,,,,Total:,345 minutes,,Taught time,265
,,,,,,Start Time,9:30,,Breaks,80
Intro and Boot Disk,Live Lecture/Cohort Discussion,20,9:30,9:50,,Finish Time,15:15
Intro to OR & DR,Live Lecture,20,9:50,10:10
Exercise: Where are we discussion?,Cohort Discussion,10,10:10,10:20
Key Geographic Concepts,Live Lecture,50,10:20,11:10
Comfort Break,Break,20,11:10,11:30
Initial review of geographic problems,Group Exercise,10,11:30,11:40
Intro to location optimization,Live Lecture,20,11:40,12:00
Exercise: location optimization game,Group Exercise,45,12:00,12:45
Debrief,Cohort Discussion,10,12:45,12:55
Lunch,Break,60,12:55,13:55
Geographic Showcase + Other Techniques,Live Lecture,25,13:55,14:20
Exercise : Geographic Project Proposals,Group Exercise,30,14:20,14:50
Presentation of proposals,Cohort Discussion,15,14:50,15:05
Next Steps and Feedback,Live Lecture,10,15:05,15:15
