Facility_Name,Latitude,Longitude,Type
North Devon District Hospital,51.09217,-4.05043,Acute Hospital
Honiton Hospital,50.79492,-3.18659,Community Hospital
Tiverton & District Hospital,50.90933,-3.49308,Community Hospital
Exmouth Minor Injury Unit,50.62083,-3.40198,Minor Injury Unit
Victoria Hospital (Sidmouth),50.68161,-3.23966,Community Hospital
Newton Abbot Community Hospital,50.53926,-3.61224,Community Hospital
Totnes Community Hospital,50.43283,-3.68406,Community Hospital
NHS Walk in Centre (Exeter),50.72658,-3.52521,Minor Injury Unit
Tavistock Hospital,50.54708,-4.15376,Community Hospital
South Hams Hospital (Kingsbridge),50.28929,-3.78143,Community Hospital
Cumberland Centre (Plymouth),50.37004,-4.16873,Minor Injury Unit
Derriford Hospital,50.41802,-4.1189,Acute Hospital
Ilfracombe & District Tyrrell Hospital,51.20468,-4.12454,Minor Injury Unit
South Molton Hospital,51.01681,-3.83823,Community Hospital
Dawlish Community Hospital,50.58057,-3.47482,Community Hospital
Royal Devon and Exeter Hospital (Wonford),50.7135,-3.5115,Acute Hospital
Torbay Hospital,50.4852,-3.5518,Acute Hospital
Mount Gould Hospital (Plymouth),50.3789,-4.1167,Community Hospital
Axminster Hospital,50.7811,-2.9922,Community Hospital
Bideford Community Hospital,51.0183,-4.2081,Community Hospital
Okehampton Community Hospital,50.7424,-3.9912,Community Hospital
Seaton Community Hospital,50.7131,-3.0788,Community Hospital
Crediton Hospital,50.7891,-3.6495,Community Hospital
Teignmouth Community Hospital,50.5517,-3.4981,Community Hospital
Holsworthy Community Hospital,50.8122,-4.3541,Community Hospital
